host_id,host_name,host_is_superhost,host_neighbourhood,host_since
3082095,Natasa,True,Marrickville,2012-07-28
4491009,Tony,False,Manly,2012-12-25
4491009,,,,
4526309,Juliette,True,Queens Park,2012-12-29
2001848,Caroline,True,Bondi,2012-03-25
2044652,Alice,False,Maroubra,2012-03-31
4525873,Marcella,False,Maroubra,2012-12-29
4551885,Kirsti,True,Manly,2013-01-02
4551885,Kirsti,False,Manly,2013-01-02
4563347,Rajeev,False,,2013-01-02
4580313,Sarah,False,Potts Point,2013-01-03
4580313,Sarah,True,Potts Point,2013-01-03
4581304,Jesse,False,Surry Hills,2013-01-03
4581484,Irmgard,True,North Bondi,2013-01-03
4581519,Rob,False,Potts Point,2013-01-03
1624979,James,False,Mosman,2012-01-19
2198824,Skye,False,Lilyfield,2012-04-22
4580313,Sarah,True,Double Bay,2013-01-03
4636841,Carol,True,Bondi Beach,2013-01-09
4636841,Carol,False,Bondi Beach,2013-01-09
4638388,Michelle,False,Sans Souci,2013-01-09
2192356,Justine,False,Bondi Beach,2012-04-21
4657452,Ern,True,Balgowlah,2013-01-10
4657452,Alison,True,Balgowlah,2013-01-10
4660343,Sue,False,Gladesville,2013-01-10
4660743,Pamela & Jeff,True,,2013-01-10
4674300,Rick,True,Rose Bay,2013-01-12
4682118,Maree,False,Phillip Bay,2013-01-13
4696375,Jerry,False,Redfern,2013-01-14
4734769,Andrew,False,Waterloo,2013-01-17
4755952,Susanna,False,,2013-01-18
4757350,Jill,False,,2013-01-18
4759319,Sorrell,True,Manly,2013-01-19
4760016,Benjamin,False,North Sydney,2013-01-19
4293557,Lauri,False,Bondi,2012-12-01
4748931,Irene,False,Bondi Beach,2013-01-18
2633594,Rupert,False,Woollahra,2012-06-14
4798499,Hendrika,True,Avalon Beach,2013-01-22
3704773,Lauren,False,Tamarama,2012-09-28
1903447,Brendon,True,Balmain,2012-03-11
4849336,Gabor,False,Potts Point,2013-01-26
4871762,Cheryl,True,Fairlight,2013-01-27
4874588,Heidi,True,Avalon Beach,2013-01-28
4874588,Heidi,False,Avalon Beach,2013-01-28
4887010,Kerry And Gary,False,Balgowlah,2013-01-28
4759578,Naomi,True,Manly,2013-01-19
4890791,Carolyn,False,Little Bay,2013-01-29
4903056,Andrew,False,Rozelle,2013-01-30
3948736,Jj,False,Alexandria,2012-10-22
4912002,Moshe,False,,2013-01-30
3960586,Adrian,False,,2012-10-24
4925877,Leighton,False,Paddington,2013-02-01
4915883,Elizabeth,True,Manly,2013-01-31
4969200,Jasmin,False,Randwick,2013-02-04
2028075,Tat,True,Surry Hills,2012-03-28
4994244,Julia,True,Potts Point,2013-02-06
5004627,Ken And Margie,False,,2013-02-07
5040528,George,False,,2013-02-10
5041727,Linda,True,Fairlight,2013-02-10
4995302,Anthony,False,Neutral Bay,2013-02-06
5056514,Kelli,False,Coogee,2013-02-12
330564,Mimi,False,Birchgrove,2010-12-30
5091457,Stephanie,True,Putney,2013-02-15
5112319,Sarah,True,Redfern,2013-02-16
4431898,Jackie & Andrew,True,Randwick,2012-12-18
2311627,Nicole,False,,2012-05-07
5169464,Spencer,True,Redfern,2013-02-21
3731430,Kelly,False,,2012-10-01
5178441,Michelle,False,,2013-02-21
5193297,Linda And Cem,False,,2013-02-23
5259382,Ty,False,North Bondi,2013-02-27
5283993,Anne-Sophie,False,Maroubra,2013-03-02
5295814,Colin,False,North Bondi,2013-03-03
4847372,Claire,False,North Bondi,2013-01-25
5311126,Cathie,False,,2013-03-04
5327702,Rachelle,True,Bellevue Hill,2013-03-05
4668668,Sandra,True,Mosman,2013-01-11
3467277,Eleni,True,Glebe,2012-09-04
2051848,Ho-Yan,True,Surry Hills,2012-04-01
4612396,Kate,False,Balgowlah,2013-01-06
3761693,Elena,False,,2012-10-04
5496001,Billy,False,Bondi Junction,2013-03-17
5506603,Maria,False,Bronte,2013-03-17
5511709,David,False,Bronte,2013-03-18
5512046,Mitch,True,,2013-03-18
5482707,Ainsley,False,Kensington,2013-03-16
4551129,Ross & Margie,True,Avalon Beach,2013-01-02
5595776,David,True,Coogee,2013-03-24
3775524,Marcus,True,Darlinghurst,2012-10-06
3775524,Marcus,False,Darlinghurst,2012-10-06
5630067,Simone,False,Darling Point,2013-03-26
5641948,Robert,False,Avalon Beach,2013-03-26
3428692,Suzanne,False,,2012-08-31
1291639,Diane,True,Kirribilli,2011-10-14
5743511,Laurence,False,Bondi Beach,2013-04-02
5760128,Sophie,False,North Bondi,2013-04-03
5765293,Phoebe,False,North Bondi,2013-04-04
5780856,Ned,False,Rose Bay,2013-04-05
5791789,Trisha,False,,2013-04-05
24721535,Beach Stays Australia,True,Palm Beach,2014-12-11
24721535,Beach Stays Australia,False,Palm Beach,2014-12-11
24721535,Beach Stays,False,Palm Beach,2014-12-11
5819353,Juliet,False,Edgecliff,2013-04-07
5839742,Brigit,False,Lilyfield,2013-04-09
5776669,Christopher,False,,2013-04-04
5215113,Sue,False,Darlinghurst,2013-02-24
5929805,Alda,False,Stanmore,2013-04-15
1706470,Ian,True,Potts Point,2012-02-06
5930549,Andreas & Line,False,Tamarama,2013-04-15
5932275,Robert,False,Sydney,2013-04-15
5931247,Ursula,False,Paddington,2013-04-15
5963064,Anthony,False,North Sydney,2013-04-17
5943929,Jessica,True,Darlinghurst,2013-04-15
5089202,Harriet,True,Gladesville,2013-02-14
5990033,Susannah,False,,2013-04-18
5916081,Andrew,True,,2013-04-14
6042163,Kevin,False,Maroubra,2013-04-22
6044810,Trevor,False,Surry Hills,2013-04-22
5272421,Chris,False,Fairlight,2013-02-28
417207,Cinni,False,Forest Lodge,2011-03-01
6067784,Jacqui,False,Avalon Beach,2013-04-24
6067820,Julian,False,North Bondi,2013-04-24
6051401,Gina,False,Newtown,2013-04-23
6051401,,,,
1232300,Judy,True,Arncliffe,2011-10-01
6073132,Danielle,False,Banksia,2013-04-24
2524275,Scott,False,Coogee,2012-06-02
2288917,Matt,False,Maroubra,2012-05-04
2404694,Arnie & Lorraine,False,Paddington,2012-05-18
2404694,Arnie & Lorraine,True,Paddington,2012-05-18
6111545,David,False,North Bondi,2013-04-27
6121315,Madeline,False,Bondi Beach,2013-04-27
6121659,Clarissa,False,Randwick,2013-04-27
5729260,Susi,False,Ultimo,2013-04-02
5860487,Rina,False,Haberfield,2013-04-10
6140082,Joanna,False,,2013-04-29
6153649,Jess,False,Potts Point,2013-04-29
6155676,Linda,False,Chippendale,2013-04-29
6155676,Linda,True,Chippendale,2013-04-29
6156129,Michael,False,Maroubra,2013-04-30
6159225,Guy,False,Bondi,2013-04-30
3266211,Jen,False,Manly,2012-08-15
5292007,Nicolene,False,Cronulla,2013-03-02
8402583,Janice,True,Cronulla,2013-08-26
8402583,Janice,False,Cronulla,2013-08-26
1261680,James,True,Randwick,2011-10-07
6172276,Alison,False,Lilyfield,2013-05-01
4813247,Kristin,False,Coogee,2013-01-23
6205300,Sarah,False,Woollahra,2013-05-03
3792649,Steve,True,Bondi Beach,2012-10-07
3231475,Liliya,False,Coogee,2012-08-12
6245401,Belinda,True,,2013-05-05
6246504,Matthew,False,Manly,2013-05-06
6250414,Gillian,True,,2013-05-06
97616,Marcella,True,Surry Hills,2010-03-23
6262522,M&A,False,Glebe,2013-05-06
6016999,Eleanor,True,Neutral Bay,2013-04-20
6311428,Jill,True,Woollahra,2013-05-09
6311428,Jill,False,Woollahra,2013-05-09
6357484,Mary Jane,False,Lane Cove,2013-05-12
6377596,Dave,False,Darlinghurst,2013-05-13
6379641,Tony,False,,2013-05-14
6379641,,,,
6379641,Tony,True,,2013-05-14
6396861,Toni & Victor,True,,2013-05-14
6401226,Edgar,True,Mascot,2013-05-15
6050952,Lisa,False,,2013-04-23
6435423,Andrew,True,,2013-05-17
6459849,Jill,False,Lane Cove,2013-05-19
5218299,Kristie,False,Randwick,2013-02-25
6462282,Jessie,False,Annandale,2013-05-19
6479860,Pip,False,Manly,2013-05-20
1428322,Melissa,False,Newtown,2011-11-21
2778525,Cameron,False,Clovelly,2012-06-29
6496994,Grisel,False,Bondi Beach,2013-05-21
4758473,Talbot,False,Bondi Beach,2013-01-18
6519059,Gustavo,False,Maroubra,2013-05-22
2417947,Miriam,True,,2012-05-20
6538998,Norman,False,Redfern,2013-05-23
6551840,Selo,False,Neutral Bay,2013-05-24
3980770,Katy,False,Randwick,2012-10-26
6613002,Li,True,Maroubra,2013-05-28
5808427,Eduardo & Yvonne,False,Bondi Junction,2013-04-07
6625501,Eva & Chris,False,Cammeray,2013-05-28
6266484,Ritchi,False,,2013-05-07
