index,property_type,room_type,accommodates,year_month,active_listings_rate,min_price_active,max_price_active,median_price_active,avg_price_active,distinct_hosts,superhost_rate,avg_review_score_active,active_listings,inactive_listings,total_stays,avg_estimated_revenue_per_active,pct_change_active_listings,pct_change_inactive_listings
52,Apartment,Entire home/apt,11,2020-05,100.0,298.0,580.0,344.5,391.75,4.0,25.0,98.0,4.0,0.0,90.0,9270.0,,
53,Apartment,Entire home/apt,11,2020-06,100.0,299.0,581.0,344.0,392.0,4.0,25.0,91.33333333333333,4.0,0.0,67.0,5693.25,0.0,
54,Apartment,Entire home/apt,11,2020-07,100.0,299.0,580.0,439.5,439.5,2.0,0.0,96.0,2.0,0.0,34.0,5645.0,-50.0,
55,Apartment,Entire home/apt,12,2020-05,100.0,240.0,700.0,337.0,391.125,7.0,28.57142857142857,92.83333333333333,8.0,0.0,202.0,10346.0,,
56,Apartment,Entire home/apt,12,2020-06,100.0,250.0,699.0,358.0,412.7142857142857,6.0,33.33333333333333,92.83333333333333,7.0,0.0,166.0,10514.857142857143,-12.5,
57,Apartment,Entire home/apt,12,2020-07,100.0,198.0,699.0,428.0,421.25,7.0,14.285714285714285,93.71428571428571,8.0,0.0,173.0,9617.25,14.28571428571428,
58,Apartment,Entire home/apt,13,2020-05,100.0,250.0,250.0,250.0,250.0,1.0,100.0,99.0,1.0,0.0,0.0,0.0,,
59,Apartment,Entire home/apt,13,2020-06,100.0,249.0,249.0,249.0,249.0,1.0,100.0,99.0,1.0,0.0,3.0,747.0,0.0,
60,Apartment,Entire home/apt,13,2020-07,100.0,249.0,249.0,249.0,249.0,1.0,100.0,99.0,1.0,0.0,1.0,249.0,0.0,
61,Apartment,Entire home/apt,14,2020-05,100.0,151.0,501.0,243.5,273.0,5.0,40.0,73.4,6.0,0.0,90.0,3680.0,,
62,Apartment,Entire home/apt,14,2020-06,100.0,151.0,269.0,240.0,225.0,3.0,0.0,67.0,4.0,0.0,61.0,3805.0,-33.333333333333336,
63,Apartment,Entire home/apt,14,2020-07,100.0,150.0,268.0,240.0,224.5,3.0,0.0,67.0,4.0,0.0,62.0,3835.0,0.0,
64,Apartment,Entire home/apt,15,2020-05,100.0,268.0,268.0,268.0,268.0,1.0,100.0,100.0,1.0,0.0,30.0,8040.0,,
65,Apartment,Entire home/apt,16,2020-05,100.0,100.0,801.0,400.0,434.0,3.0,33.33333333333333,98.25,7.0,0.0,70.0,4757.142857142857,,
66,Apartment,Entire home/apt,16,2020-06,100.0,280.0,799.0,400.0,469.57142857142856,3.0,33.33333333333333,98.6,7.0,0.0,130.0,10202.857142857143,0.0,
67,Apartment,Entire home/apt,16,2020-07,100.0,280.0,1001.0,580.0,590.0,2.0,50.0,98.25,6.0,0.0,135.0,12836.166666666666,-14.28571428571429,
68,Apartment,Hotel room,4,2020-05,100.0,300.0,350.0,325.0,325.0,1.0,0.0,93.0,2.0,0.0,60.0,9750.0,,
69,Apartment,Hotel room,4,2020-06,100.0,300.0,350.0,325.0,325.0,1.0,0.0,93.0,2.0,0.0,60.0,9750.0,0.0,
70,Apartment,Hotel room,6,2020-05,100.0,335.0,335.0,335.0,335.0,1.0,0.0,83.0,1.0,0.0,0.0,0.0,,
71,Apartment,Hotel room,6,2020-06,100.0,335.0,335.0,335.0,335.0,1.0,0.0,83.0,1.0,0.0,4.0,1340.0,0.0,
72,Apartment,Hotel room,6,2020-07,100.0,334.0,334.0,334.0,334.0,1.0,0.0,85.0,1.0,0.0,30.0,10020.0,0.0,
